visual:red:smooth:r11,11,0.709422,56
visual:red:smooth:r12,25,0.691933,93
visual:red:smooth:r01,7,0.671306,39
visual:red:smooth:r02,10,0.557534,60
visual:bright:smooth:r02,3,0.480878,20
visual:neutral:smooth:r00,1,0.646095,6
visual:neutral:smooth:r12,271,0.52488,691
visual:bright:smooth:r01,3,0.632162,19
visual:neutral:smooth:r02,14,0.62495,74
visual:red:smooth:r00,6,0.673329,28
visual:neutral:smooth:r11,89,0.590992,362
visual:bright:smooth:r11,7,0.597155,47
visual:red:smooth:r10,24,0.67697,104
visual:bright:smooth:r00,3,0.632597,20
visual:neutral:smooth:r10,44,0.57556,118
visual:bright:smooth:r10,1,0.528505,8
visual:bright:smooth:r12,170,0.639251,265
visual:neutral:smooth:r01,21,0.672629,102
