1	visual:neutral:smooth
2	visual:dark:smooth
3	visual:dark:edgy
4	visual:red:smooth
5	visual:blue:smooth
6	visual:bright:smooth
7	visual:neutral:edgy
8	visual:blue:edgy
9	visual:neutral:smooth:r20
10	visual:red:smooth:r30
11	visual:neutral:smooth:r30
12	visual:neutral:smooth:r10
13	visual:dark:smooth:r20
14	visual:neutral:smooth:r11
15	visual:neutral:smooth:r21
16	visual:red:smooth:r21
17	visual:neutral:smooth:r32
18	visual:neutral:smooth:r04
19	visual:neutral:smooth:r54
20	visual:neutral:smooth:r55
21	visual:dark:smooth:r55
22	visual:red:smooth:r20
23	visual:bright:smooth:r54
24	visual:dark:smooth:r44
25	visual:dark:smooth:r30
26	visual:red:smooth:r31
27	visual:neutral:smooth:r13
28	visual:neutral:smooth:r14
29	visual:neutral:smooth:r34
30	visual:dark:smooth:r54
31	visual:neutral:smooth:r35
32	visual:neutral:smooth:r45
33	visual:dark:smooth:r35
34	visual:dark:smooth:r04
35	visual:neutral:smooth:r05
36	visual:red:smooth:r53
37	visual:neutral:smooth:r44
38	visual:red:smooth:r54
39	visual:red:smooth:r55
40	visual:neutral:smooth:r22
41	visual:red:smooth:r22
42	visual:neutral:smooth:r52
43	visual:red:smooth:r52
44	visual:neutral:smooth:r23
45	visual:neutral:smooth:r53
46	visual:red:smooth:r23
47	visual:dark:smooth:r15
48	visual:neutral:smooth:r15
49	visual:dark:smooth:r45
50	visual:bright:smooth:r21
51	visual:red:smooth:r11
52	visual:red:smooth:r12
53	visual:red:smooth:r13
54	visual:red:smooth:r14
55	visual:neutral:smooth:r24
56	visual:red:smooth:r15
57	visual:neutral:smooth:r12
58	visual:red:smooth:r10
59	visual:neutral:smooth:r33
60	visual:red:smooth:r05
61	visual:neutral:smooth:r31
62	visual:neutral:smooth:r42
63	visual:bright:smooth:r42
64	visual:neutral:smooth:r43
65	visual:red:smooth:r04
66	visual:neutral:smooth:r25
67	visual:red:smooth:r35
68	visual:red:smooth:r01
69	visual:neutral:smooth:r02
70	visual:red:smooth:r02
71	visual:red:smooth:r32
72	visual:bright:smooth:r32
73	visual:bright:smooth:r52
74	visual:red:smooth:r03
75	visual:neutral:smooth:r03
76	visual:dark:smooth:r14
77	visual:red:smooth:r44
78	visual:dark:smooth:r05
79	visual:dark:smooth:r21
80	visual:neutral:smooth:r01
81	visual:dark:smooth:r12
82	visual:dark:smooth:r53
83	visual:neutral:smooth:r40
84	visual:bright:smooth:r20
85	visual:dark:smooth:r31
86	visual:red:smooth:r33
87	visual:dark:smooth:r33
88	visual:dark:smooth:r34
89	visual:red:smooth:r25
90	visual:dark:smooth:r41
91	visual:bright:smooth:r53
92	visual:red:smooth:r24
93	visual:dark:smooth:r13
94	visual:dark:smooth:r03
95	visual:dark:smooth:r23
96	visual:dark:smooth:r43
97	visual:dark:smooth:r32
98	visual:bright:smooth:r30
99	visual:red:smooth:r42
100	visual:neutral:smooth:r51
101	visual:neutral:smooth:r50
102	visual:bright:smooth:r51
103	visual:bright:smooth:r22
104	visual:dark:smooth:r24
105	visual:dark:smooth:r40
106	visual:bright:smooth:r44
107	visual:bright:smooth:r33
108	visual:neutral:smooth:r41
109	visual:bright:smooth:r43
110	visual:bright:smooth:r15
111	visual:bright:smooth:r04
112	visual:red:smooth:r40
113	visual:bright:smooth:r14
114	visual:bright:smooth:r01
115	visual:bright:smooth:r02
116	visual:bright:smooth:r24
117	visual:neutral:smooth:r00
118	visual:bright:smooth:r13
119	visual:dark:smooth:r42
120	visual:bright:smooth:r10
121	visual:red:smooth:r50
122	visual:dark:smooth:r00
123	visual:red:smooth:r43
124	visual:neutral:edgy:r13
125	visual:dark:smooth:r10
126	visual:bright:smooth:r34
127	visual:dark:smooth:r50
128	visual:bright:smooth:r00
129	visual:bright:smooth:r05
130	visual:red:smooth:r34
131	visual:dark:smooth:r22
132	visual:bright:smooth:r41
133	visual:bright:smooth:r23
134	visual:dark:smooth:r01
135	visual:dark:smooth:r02
136	visual:red:smooth:r45
137	visual:red:smooth:r51
138	visual:bright:smooth:r40
139	visual:red:smooth:r41
140	visual:bright:smooth:r50
141	visual:dark:smooth:r52
142	visual:bright:smooth:r03
143	visual:bright:smooth:r12
144	visual:green:smooth:r02
145	visual:neutral:edgy:r11
146	visual:neutral:edgy:r12
147	visual:blue:smooth:r01
148	visual:green:smooth:r01
149	visual:dark:smooth:r25
